id,host_name,neighbourhood_group,latitude,longitude,room_type,price,number_of_reviews,reviews_per_month,availability_365,last_review
12627,Rana,Brooklyn,40.65944,-73.96238,Entire home/apt,150,11,0.49,95,2019-05-06
12937,Orestes,Queens,40.74771,-73.9474,Private room,130,248,2.25,215,2019-01-07
12940,Adreinne,Brooklyn,40.68111,-73.95591,Entire home/apt,110,61,0.52,265,2019-05-25
13050,Jennifer,Brooklyn,40.68554,-73.9409,Entire home/apt,115,11,0.1,0,2017-01-01
13394,Alexander,Brooklyn,40.69142,-73.97376,Private room,80,135,1.16,192,2019-06-17
13808,JT And Tiziana,Brooklyn,40.68043,-73.93934,Private room,80,112,1.01,251,2019-06-16
14287,Joya,Manhattan,40.78635,-73.97008,Entire home/apt,151,73,0.63,302,2019-07-07
14290,James,Brooklyn,40.7042,-73.9356,Entire home/apt,228,82,0.7,140,2019-05-17
14314,Jeanne,Brooklyn,40.73506,-73.95392,Entire home/apt,144,328,2.82,234,2019-06-29
14322,Francesca,Manhattan,40.73961,-73.98074,Entire home/apt,200,19,0.22,257,2019-03-25
14377,Joanna,Brooklyn,40.70881,-73.9593,Entire home/apt,150,105,0.9,30,2019-06-22
14991,Bianca,Manhattan,40.72004,-73.99104,Private room,110,19,0.17,301,2019-05-18
15220,Luiz,Manhattan,40.75531,-73.99293,Private room,69,289,2.49,294,2019-09-06
15338,Andrea,Brooklyn,40.72401,-73.93788,Private room,49,138,1.19,320,2019-04-06
15341,Ted,Manhattan,40.7221,-73.99775,Entire home/apt,180,21,0.3,154,2019-06-29
15385,Cristina,Brooklyn,40.71185,-73.96204,Private room,80,42,0.38,263,2019-06-30
15396,Petra,Manhattan,40.74623,-73.9953,Entire home/apt,375,5,0.12,180,2018-03-11
15711,D,Manhattan,40.77065,-73.95269,Entire home/apt,250,66,0.57,231,2019-03-30
16326,Dimitri,Brooklyn,40.67811,-73.96428,Entire home/apt,200,143,1.33,297,2019-01-26
16338,Patricia,Brooklyn,40.69,-73.96788,Private room,55,27,0.23,292,2017-09-30
16421,Mark,Manhattan,40.75979,-73.99119,Private room,52,191,1.65,191,2019-05-16
16458,Sara,Brooklyn,40.67343,-73.98338,Entire home/apt,225,4,0.16,0,2017-09-24
16580,Reka,Manhattan,40.72649,-73.97904,Private room,80,338,4.72,72,2019-01-07
16595,Daniel,Brooklyn,40.70933,-73.96792,Entire home/apt,275,148,1.4,362,2019-06-23
16821,Casey,Manhattan,40.72298,-73.98474,Private room,99,106,1.26,336,2019-06-21
16974,Robin,Manhattan,40.80164,-73.93922,Entire home/apt,225,190,1.64,215,2019-06-23
17037,Anna,Manhattan,40.72162,-73.98008,Entire home/apt,230,49,0.43,116,2018-05-14
17092,Enzo,Manhattan,40.76342,-73.98865,Private room,51,23,0.43,88,2019-01-06
17693,Tye And Etienne,Manhattan,40.83139,-73.94095,Private room,65,49,1.6,336,2019-06-18
17747,George,Brooklyn,40.68346,-73.96374,Private room,105,105,0.92,304,2019-06-26
18127,Josh,Manhattan,40.72828,-73.98801,Entire home/apt,190,21,0.2,224,2019-02-01
18152,Victoria,Manhattan,40.76865,-73.95058,Private room,200,142,1.5,322,2019-06-07
18198,Justin,Queens,40.75038,-73.90334,Private room,70,25,0.22,324,2019-05-31
18590,Blaise,Brooklyn,40.6932,-73.97267,Private room,95,143,1.28,132,2019-06-16
18728,DAVID And RICK,Manhattan,40.74138,-74.00197,Private room,150,167,1.65,295,2019-05-28
18764,Lulú,Brooklyn,40.71154,-73.96112,Private room,145,61,0.54,238,2019-04-22
19159,Sybilla,Manhattan,40.82915,-73.95136,Entire home/apt,110,54,0.49,209,2019-03-23
19169,JoLynn,Manhattan,40.71851,-73.98892,Entire home/apt,285,70,0.62,328,2019-06-30
19282,Gaia,Brooklyn,40.65401,-73.96323,Entire home/apt,130,16,0.15,38,2019-06-15
19319,Ana,Manhattan,40.7114,-73.98794,Private room,94,94,0.84,188,2019-08-04
19601,Maggie,Brooklyn,40.69723,-73.99268,Entire home/apt,800,25,0.24,7,2016-04-08
19812,Starlee,Brooklyn,40.71833,-73.95748,Entire home/apt,105,61,0.53,272,2018-09-08
20299,Edward,Manhattan,40.72334,-73.9844,Private room,60,194,1.73,26,2019-06-30
20300,Pas,Manhattan,40.72912,-73.98057,Private room,50,2,0.05,0,2016-02-14
20611,Lulú,Brooklyn,40.71156,-73.96218,Private room,85,174,1.54,288,2019-06-22
20724,Augustin,Brooklyn,40.70032,-73.9383,Private room,65,24,0.28,317,2019-05-26
20734,Sean & Lynette,Brooklyn,40.68233,-73.97261,Entire home/apt,131,166,3.4,207,2019-06-27
20755,Erica,Brooklyn,40.68634,-73.966,Private room,98,16,0.2,185,2019-05-31
20853,Tracy,Brooklyn,40.68035,-73.97162,Entire home/apt,250,21,0.3,158,2019-05-21
20913,Christiana,Brooklyn,40.70984,-73.95775,Entire home/apt,100,168,1.57,0,2018-07-22
21293,Tyrome,Brooklyn,40.70093,-73.92609,Entire home/apt,105,118,1.05,9,2019-06-18
21456,Dana,Manhattan,40.79764,-73.96177,Entire home/apt,140,81,0.71,198,2019-07-07
21644,Elliott,Manhattan,40.82803,-73.94731,Private room,89,1,0.11,365,2018-09-10
21794,Olan,Manhattan,40.74008,-74.00271,Private room,98,30,0.27,364,2019-01-05
22911,Shelly,Brooklyn,40.68413,-73.92357,Entire home/apt,125,139,1.23,311,2018-10-28
22918,Ssameer Or Trip,Manhattan,40.82279,-73.95139,Private room,60,11,0.87,219,2019-03-01
23135,Annette,Brooklyn,40.67967,-74.00154,Entire home/apt,175,233,2.09,342,2019-06-24
23501,Meka,Manhattan,40.83927,-73.94281,Private room,65,68,0.6,312,2012-01-11
23686,Ann,Manhattan,40.73096,-74.00319,Entire home/apt,500,46,0.55,243,2019-05-18
24143,Seth,Brooklyn,40.71332,-73.94177,Private room,101,335,3.02,152,2019-05-29
24285,Brenda,Brooklyn,40.66941,-73.98109,Entire home/apt,220,88,0.79,9,2018-02-11
25235,Shelly,Brooklyn,40.68373,-73.92377,Entire home/apt,125,162,1.46,137,2019-06-28
25406,Erik,Brooklyn,40.71459,-73.94844,Entire home/apt,80,29,0.4,222,2018-05-26
25696,Dena,Manhattan,40.8092,-73.94421,Private room,100,170,1.61,346,2019-06-23
26012,Jessica,Brooklyn,40.68157,-73.98989,Entire home/apt,200,19,0.2,208,2017-03-17
26362,Luiz,Manhattan,40.75527,-73.99291,Private room,59,334,3.0,279,2019-06-16
26520,Erica,Brooklyn,40.68698,-73.96572,Private room,125,19,0.2,250,2019-02-06
26559,Sally,Manhattan,40.7288,-73.98192,Entire home/apt,140,12,0.13,164,2017-11-12
26785,Dani,Brooklyn,40.66853,-73.98912,Entire home/apt,120,467,4.22,192,2018-12-30
26933,Bruce,Manhattan,40.7254,-73.98157,Entire home/apt,350,7,0.06,298,2017-09-08
26954,Nimo,Manhattan,40.74294,-73.98009,Entire home/apt,199,38,0.38,260,2015-02-12
26969,Alexandra,Brooklyn,40.71942,-73.95748,Entire home/apt,325,324,3.01,107,2019-06-23
27006,Stacy,Manhattan,40.77823,-73.97637,Entire home/apt,235,27,0.27,199,2019-04-27
27385,Bruce,Manhattan,40.72555,-73.97965,Entire home/apt,225,115,1.05,299,2019-07-06
27531,Evelyn,Brooklyn,40.66831,-73.98604,Private room,99,354,3.2,20,2019-05-20
27644,Emma,Manhattan,40.82754,-73.94919,Entire home/apt,170,195,2.03,318,2019-01-07
27659,Vero,Brooklyn,40.66499,-73.97925,Entire home/apt,400,16,0.24,216,2018-12-30
27759,Sylvie,Manhattan,40.77842,-73.97556,Entire home/apt,170,13,0.12,224,2019-06-26
27883,Jen,Manhattan,40.72245,-73.98527,Entire home/apt,100,25,0.23,0,2011-10-12
28321,Kay,Brooklyn,40.65593,-73.96053,Private room,75,9,0.08,324,2018-05-10
28396,Jo,Brooklyn,40.71923,-73.96468,Private room,90,9,0.08,245,2011-09-18
28907,Lisa,Manhattan,40.778,-73.94822,Entire home/apt,150,21,0.19,189,2017-08-15
29012,Fernando And Lenin,Manhattan,40.85879,-73.93128,Private room,85,36,0.33,307,2017-08-17
29013,Angela,Brooklyn,40.68332,-73.9547,Private room,70,63,0.58,310,2019-05-14
29455,Laurine,Manhattan,40.81618,-73.94894,Entire home/apt,120,155,1.42,213,2019-06-20
29628,Chris,Brooklyn,40.68414,-73.96351,Private room,89,260,2.35,278,2019-03-07
29683,Uli,Manhattan,40.72392,-73.99143,Entire home/apt,185,73,0.66,209,2019-06-25
30031,Sol,Brooklyn,40.73494,-73.9503,Private room,50,193,1.86,0,2019-05-20
30927,Cs,Manhattan,40.71341,-73.98856,Entire home/apt,105,32,0.29,16,2019-06-14
31130,Lara,Manhattan,40.76754,-73.98399,Private room,130,50,0.45,234,2019-05-26
31555,Tom,Manhattan,40.73442,-74.00303,Entire home/apt,115,26,0.25,12,2019-01-07
31902,Sunder,Brooklyn,40.63188,-73.93248,Private room,77,2,0.02,178,2019-01-01
31994,Waldemar,Brooklyn,40.6873,-73.9634,Private room,76,426,3.89,275,2019-06-24
32023,Khem,Brooklyn,40.68296,-73.93662,Entire home/apt,125,227,2.09,163,2019-06-23
32037,Sahr,Brooklyn,40.6863,-73.96765,Private room,135,84,0.77,365,2019-01-07
32100,Ali+Scott,Brooklyn,40.73409,-73.95348,Entire home/apt,250,3,0.03,34,2017-07-30
32289,Elisabeth,Brooklyn,40.71561,-73.94835,Entire home/apt,199,10,0.1,280,2018-11-06
32331,Sarah,Brooklyn,40.6857,-73.99183,Entire home/apt,140,4,0.04,0,2016-04-24
32363,Fredah,Queens,40.74028,-73.83168,Private room,140,1,0.01,1,2011-09-19
32965,Khem,Brooklyn,40.68281,-73.93524,Entire home/apt,115,124,1.72,170,2019-06-20
32969,Katherine,Brooklyn,40.71596,-73.93938,Entire home/apt,160,11,0.11,188,2019-02-07
33009,Ming,Brooklyn,40.71492,-73.95935,Entire home/apt,195,240,2.19,214,2019-06-17
33014,Paula,Manhattan,40.72354,-73.98295,Entire home/apt,195,30,0.28,248,2019-06-17
33223,Lulú,Brooklyn,40.71165,-73.96087,Private room,80,200,1.86,262,2019-06-22
34760,Obed,Brooklyn,40.69101,-73.97312,Private room,44,27,1.05,280,2019-06-29
35526,Karen,Manhattan,40.73474,-74.00101,Private room,156,79,0.74,307,2019-06-22
36121,Michael,Brooklyn,40.67386,-73.96641,Private room,85,9,0.09,339,2013-10-05
36133,White,Brooklyn,40.71536,-73.96057,Private room,125,155,1.61,1,2019-06-13
36442,Paz,Brooklyn,40.6741,-73.96595,Entire home/apt,115,4,0.05,269,2018-08-27
36647,Irene,Manhattan,40.79295,-73.93997,Private room,69,34,0.32,10,2017-05-29
36703,Karene,Manhattan,40.73226,-74.00401,Entire home/apt,225,134,1.24,312,2019-03-31
36934,Viviana,Brooklyn,40.71363,-73.96398,Entire home/apt,125,27,0.25,189,2018-12-27
38638,Sara,Manhattan,40.77711,-73.9527,Entire home/apt,219,126,1.16,290,2019-06-26
38663,Sarah,Brooklyn,40.68559,-73.98094,Entire home/apt,475,23,0.27,230,2018-12-31
39267,Marie,Manhattan,40.77456,-73.95323,Entire home/apt,99,234,2.6,164,2019-08-06
39282,Gus,Brooklyn,40.71088,-73.95055,Private room,69,202,1.86,53,2019-05-28
39593,Myung,Queens,40.74559,-73.92313,Private room,79,28,0.26,126,2019-12-04
39704,Renée,Brooklyn,40.68306,-73.94659,Entire home/apt,135,309,2.86,3,2019-06-22
40039,Henry,Brooklyn,40.70207,-73.98571,Private room,250,14,0.13,189,2011-04-25
40453,Sylvia,Manhattan,40.76123,-73.9642,Entire home/apt,250,4,0.08,365,2016-09-23
41348,Syl,Brooklyn,40.66858,-73.99083,Entire home/apt,250,80,2.17,0,2019-06-07
41513,Lorenzo,Manhattan,40.82704,-73.94907,Entire home/apt,80,2,0.04,0,2015-02-11
42580,Waldemar,Brooklyn,40.68843,-73.96408,Private room,70,294,3.47,336,2019-06-24
42729,Annette,Brooklyn,40.6783,-74.00135,Entire home/apt,165,150,1.4,342,2019-06-18
42882,Newyorkroomwithaview,Staten Island,40.64524,-74.08088,Private room,70,166,1.66,312,2019-06-13
43957,Tessa,Brooklyn,40.70641,-73.91765,Private room,50,47,0.94,37,2019-06-19
44096,Waundell,Bronx,40.83232,-73.93184,Private room,40,219,2.04,353,2019-04-07
44161,Young,Brooklyn,40.71045,-73.9677,Entire home/apt,150,193,1.78,177,2016-06-07
44212,Bruce,Manhattan,40.72518,-73.98034,Private room,125,84,0.78,310,2019-06-23
44221,Coral,Manhattan,40.70666,-74.01374,Entire home/apt,196,114,1.06,0,2019-06-20
44229,Carol,Brooklyn,40.69098,-73.97113,Private room,110,213,2.0,321,2019-06-24
44288,Sara,Manhattan,40.73756,-74.00405,Entire home/apt,170,86,0.8,246,2019-01-06
44506,Laurine,Manhattan,40.81526,-73.94791,Entire home/apt,165,80,0.75,231,2019-05-26
45393,Myrna,Manhattan,40.73423,-74.0046,Entire home/apt,150,38,0.36,225,2016-04-20
45542,Campbell,Manhattan,40.82374,-73.9373,Entire home/apt,100,18,1.79,0,2018-12-17
45556,Doug,Brooklyn,40.68863,-73.97691,Private room,65,206,1.92,0,2019-06-30
45910,Mark,Queens,40.70382,-73.89797,Entire home/apt,350,10,0.11,365,2019-12-05
45936,Rahul,Manhattan,40.80549,-73.95924,Private room,99,122,1.18,233,2019-05-14
45940,Miyoung,Brooklyn,40.71627,-73.9587,Entire home/apt,200,33,0.58,1,2019-08-04
46544,Monica,Brooklyn,40.67994,-73.97863,Entire home/apt,150,52,0.5,18,2019-05-06
46723,Marylyn,Brooklyn,40.67992,-73.9475,Private room,90,126,1.17,343,2019-05-19
46911,Kathleen R.,Brooklyn,40.67868,-73.97307,Private room,120,51,0.48,250,2019-06-24
47199,Teresa,Manhattan,40.76834,-73.95334,Private room,75,199,1.85,326,2019-06-24
47362,Robert,Brooklyn,40.68237,-73.9415,Entire home/apt,175,30,0.29,364,2012-03-09
47370,Alex,Manhattan,40.74031,-73.99999,Entire home/apt,125,3,0.03,0,2015-07-17
47926,Claudia,Manhattan,40.76307,-73.99665,Entire home/apt,275,41,0.38,299,2019-06-26
48719,Shane,Manhattan,40.71882,-73.98852,Entire home/apt,299,109,1.04,207,2019-06-15
50447,Laurie,Brooklyn,40.6693,-73.98804,Entire home/apt,135,151,1.43,162,2019-06-22
51438,Jessica,Manhattan,40.77333,-73.95199,Private room,130,0,0.0,0,
51485,Erina,Manhattan,40.72319,-73.99201,Private room,83,285,2.69,7,2019-06-22
51572,Lee,Manhattan,40.74859,-73.99671,Private room,123,375,3.52,328,2019-06-18
51850,Jullett,Queens,40.67252,-73.76597,Private room,55,52,0.49,365,2019-05-20
53137,Marlaine,Manhattan,40.76244,-73.99271,Entire home/apt,195,10,1.01,0,2019-01-07
53196,Charlotte,Brooklyn,40.69546,-73.93503,Private room,80,11,0.48,0,2017-11-13
53469,Mark,Queens,40.71722,-73.87856,Entire home/apt,98,33,0.31,240,2015-09-05
53470,Mark,Queens,40.70234,-73.89816,Private room,140,6,0.06,365,2015-08-10
53477,Mark,Queens,40.71546,-73.87854,Entire home/apt,265,38,0.38,365,2019-04-27
54158,Bob,Brooklyn,40.7195,-73.95976,Entire home/apt,249,358,3.44,164,2019-06-20
54453,Anka,Manhattan,40.76548,-73.98474,Shared room,105,10,0.09,363,2014-07-01
54466,Douglas,Manhattan,40.80234,-73.95603,Private room,200,0,0.0,365,
54508,Kathleen R.,Brooklyn,40.6787,-73.97262,Private room,100,226,2.12,250,2019-06-06
54544,Wayne,Manhattan,40.81035,-73.94598,Entire home/apt,121,104,1.0,247,2019-06-22
54626,Waundell,Bronx,40.83075,-73.93058,Private room,45,138,1.45,323,2019-06-30
54860,Jenny,Manhattan,40.79958,-73.94275,Private room,100,204,1.92,192,2019-06-23
55467,Paul,Brooklyn,40.71625,-73.93845,Entire home/apt,140,253,3.04,125,2019-02-07
55498,Tami,Brooklyn,40.6829,-73.93549,Private room,71,23,0.22,91,2019-01-07
55668,Jason,Manhattan,40.72773,-73.99134,Private room,130,115,1.17,75,2018-05-12
55737,Pete,Manhattan,40.72861,-74.0049,Entire home/apt,199,129,1.22,286,2019-05-19
55959,Gus,Brooklyn,40.70979,-73.95162,Private room,69,82,1.13,60,2019-10-06
55982,Sally,Brooklyn,40.68656,-73.97525,Private room,68,37,0.35,0,2018-12-31
56467,Leonardo,Manhattan,40.72752,-73.98432,Entire home/apt,130,204,2.04,192,2019-01-07
56525,Alex,Brooklyn,40.729,-73.95829,Entire home/apt,195,69,0.65,58,2019-06-13
56859,Wayne,Manhattan,40.81219,-73.94499,Private room,64,192,1.84,245,2019-03-06
57166,Vasili,Queens,40.77185,-73.90502,Entire home/apt,140,17,0.16,292,2019-06-17
57297,S.M.,Brooklyn,40.68926,-73.99386,Entire home/apt,159,222,2.12,279,2019-06-24
57468,Ori,Manhattan,40.72821,-73.98701,Entire home/apt,189,205,1.96,0,2019-06-23
57618,Ana,Manhattan,40.7672,-73.98508,Entire home/apt,250,94,0.96,3,2019-09-06
57740,I,Manhattan,40.73012,-73.99053,Entire home/apt,239,7,0.07,351,2019-05-24
57754,R,Manhattan,40.7403,-73.98498,Entire home/apt,305,108,1.09,201,2019-06-30
57874,Simon,Manhattan,40.80931,-73.94343,Entire home/apt,155,222,2.1,232,2019-06-26
58059,Agnes,Manhattan,40.8251,-73.94287,Private room,60,458,4.58,258,2019-03-07
58062,Linda,Brooklyn,40.6585,-73.98397,Private room,135,21,0.26,272,2019-05-17
58467,Dave,Manhattan,40.76193,-73.9501,Private room,120,17,0.3,341,2019-08-05
59014,Drica,Manhattan,40.72052,-73.98589,Entire home/apt,150,41,0.39,244,2019-02-01
59121,Mark,Queens,40.70411,-73.89934,Entire home/apt,140,1,0.01,365,2012-09-17
59642,Betty,Brooklyn,40.73401,-73.95967,Entire home/apt,135,69,0.67,12,2019-05-19
59709,Ricardo & Ashlie,Manhattan,40.71756,-73.99503,Entire home/apt,250,18,0.18,265,2019-01-07
59855,Leslie,Manhattan,40.7589,-73.96991,Entire home/apt,250,82,0.78,0,2016-05-01
60164,Harrison,Manhattan,40.72003,-74.00262,Entire home/apt,500,94,0.99,329,2019-06-23
60457,Jessica,Manhattan,40.73194,-73.99474,Entire home/apt,225,10,0.1,91,2019-11-05
60611,Blanca,Manhattan,40.79163,-73.94573,Entire home/apt,125,183,1.83,365,2018-09-29
60666,Wayne,Manhattan,40.8118,-73.94434,Private room,92,189,1.82,253,2019-11-06
60673,Cynthia,Manhattan,40.81583,-73.94707,Private room,175,1,0.11,365,2018-07-10
60680,Mich,Manhattan,40.72654,-73.98049,Entire home/apt,99,127,1.22,320,2019-06-20
60794,Rachel,Manhattan,40.80021,-73.96071,Entire home/apt,195,4,0.04,0,2017-08-25
60948,Laurine,Manhattan,40.80942,-73.93936,Entire home/apt,140,135,1.3,192,2019-06-20
61167,Greta,Manhattan,40.71961,-73.9954,Entire home/apt,135,21,0.2,0,2015-12-12
61224,Frank,Manhattan,40.74358,-74.00027,Entire home/apt,500,35,0.34,348,2017-07-27
61406,Bethania,Manhattan,40.80335,-73.9575,Private room,80,10,2.21,0,2019-01-06
61492,Tunji,Manhattan,40.71445,-73.9908,Private room,120,171,1.8,353,2019-06-23
61509,Anna/Fonzy,Manhattan,40.75749,-73.96897,Entire home/apt,110,92,0.9,140,2019-04-30
62095,Colette&Sean,Brooklyn,40.64446,-73.9503,Entire home/apt,65,238,2.3,2,2019-06-14
62427,Brie,Manhattan,40.7268,-73.99079,Entire home/apt,130,56,0.58,56,2019-05-26
62430,Sheila,Brooklyn,40.688,-73.9171,Entire home/apt,99,111,2.13,68,2019-06-22
62452,Lissette,Staten Island,40.63536,-74.08537,Private room,36,193,1.85,360,2019-06-25
62461,Lissette,Staten Island,40.63627,-74.08543,Private room,37,147,1.44,0,2019-10-06
62787,Lissette,Staten Island,40.63518,-74.08546,Private room,37,177,1.71,320,2019-02-07
62891,Olivia,Manhattan,40.72477,-73.98161,Entire home/apt,175,185,1.78,326,2019-05-24
62903,Daniel,Manhattan,40.74238,-73.99567,Entire home/apt,205,62,0.7,76,2019-06-21
62925,Maya,Brooklyn,40.72945,-73.95511,Entire home/apt,285,124,1.22,279,2019-06-16
63299,Scott,Brooklyn,40.70763,-73.95177,Private room,59,181,1.77,15,2019-06-23
63320,Lissette,Staten Island,40.63481,-74.08519,Private room,36,333,3.19,340,2019-02-07
63360,Dennis & Naoko,Queens,40.75384,-73.91433,Entire home/apt,99,441,4.5,226,2019-06-24
63546,Antonín,Brooklyn,40.64106,-73.97426,Private room,39,45,0.46,365,2019-05-16
63573,Emily,Brooklyn,40.66793,-73.98327,Private room,60,9,0.09,0,2016-08-29
63588,Carol Gloria,Bronx,40.81309,-73.85514,Private room,90,0,0.0,349,
63610,Vie,Bronx,40.88057,-73.83572,Entire home/apt,105,38,0.5,365,2019-06-27
63657,Renée,Brooklyn,40.68236,-73.94314,Entire home/apt,135,248,2.39,11,2019-06-25
63693,Olivia,Manhattan,40.72185,-73.98246,Entire home/apt,390,143,1.38,316,2019-06-19
63719,Helene,Brooklyn,40.68503,-73.95385,Private room,70,36,0.41,281,2018-08-19
63913,Paula,Manhattan,40.86648,-73.9263,Private room,75,0,0.0,323,
64000,Kristian & Di,Brooklyn,40.7069,-73.95467,Private room,60,14,0.14,362,2019-07-01
64015,David,Manhattan,40.72807,-73.98594,Entire home/apt,200,0,0.0,0,
64107,Niya,Brooklyn,40.6778,-73.94339,Private room,100,279,2.69,301,2019-06-24
64277,Helene,Brooklyn,40.68317,-73.94701,Private room,70,18,0.22,189,2019-02-01
64314,Debbie,Brooklyn,40.6761,-73.9529,Private room,110,50,3.55,0,2019-05-26
64365,Anthony,Brooklyn,40.67586,-73.95155,Private room,60,227,2.27,287,2019-06-27
64707,Tilly,Manhattan,40.71702,-73.99811,Entire home/apt,90,1,0.16,14,2019-02-01
64837,Edward,Manhattan,40.72321,-73.98157,Private room,68,203,1.96,86,2019-06-23
65019,Claire,Manhattan,40.77956,-73.98098,Entire home/apt,115,210,2.1,261,2019-06-07
65268,Juhli,Brooklyn,40.68276,-73.95264,Private room,75,64,0.67,68,2019-05-01
65556,Marlon,Brooklyn,40.71368,-73.9626,Private room,60,0,0.0,0,
65562,Mary D,Manhattan,40.72956,-73.98158,Entire home/apt,129,5,0.15,231,2019-03-01
65615,Valerie,Brooklyn,40.71069,-73.95175,Entire home/apt,130,49,0.48,152,2019-06-29
65660,Larissa,Brooklyn,40.70863,-73.94641,Entire home/apt,95,132,1.27,46,2019-07-07
65813,Eric,Manhattan,40.82888,-73.94307,Private room,75,20,0.26,364,2019-02-01
65834,Jessica,Brooklyn,40.67319,-73.97323,Entire home/apt,175,11,0.11,246,2013-02-05
66008,Melissa,Brooklyn,40.67846,-73.99443,Entire home/apt,190,51,0.57,288,2019-01-07
66026,Alex,Brooklyn,40.6715,-73.94808,Private room,49,15,0.15,331,2019-06-30
66251,Samir,Manhattan,40.72681,-73.98534,Entire home/apt,212,67,1.31,51,2019-06-25
66275,Tony,Manhattan,40.71904,-73.99392,Private room,95,109,1.11,364,2019-06-23
66451,Luis Fernando,Brooklyn,40.71031,-73.9583,Entire home/apt,140,9,0.11,254,2019-02-16
66718,Henning,Manhattan,40.81322,-73.95306,Entire home/apt,135,187,1.87,189,2019-06-23
